,Composer,Composer life dates
268385,"Isnardi, Paolo",1536-1596
269011,"Jackson, Arthur Aubert",
1044421,"Jackson, William",1730-1803
269827,"Jacob, Gordon",1895-1984
270233,Jacopo,
974269,"Jacopo, Da Bologna",
1028132,"Jacopo, da Bologna",active 14th century
270901,"James, Philip",1890-1975
974529,"Janneqin, Clement",
272136,"Jeep, Johannes",
273634,"Jewell, J. H.",
974894,"Johansson, Bengt",1914-1989
948246,"John, Wilbye",
274218,"Johnson, Bernard",1868-1935
903855,"Johnson, Edward",active 1572-1601
274368,"Johnson, Edward, Mus. Bac",
274889,"Johnson, William Noel",
275413,"Jolivet, André",1905-1974
275537,"Joly, Denis",
275911,"Jones, Edward, Bard",
276157,"Jones, Henry Festing",
844559,"Jones, Robert",active 1597-1615
277569,"Jordan, Charles Warwick",
140385,"Josquin, des Prez",-1521
631381,"Kagel, Mauricio",
279655,"Kahn, Erich Itor",
976006,"Karg-Elert, Sigfrid",1877-1933
281665,"Kearton, J. Harper",
281678,"Keate, Melita",
281988,"Keeton, Haydn",
282060,"Keiner, Ferdinand",
283394,"Kemp, Joseph",1778-1824
283751,"Kennedy, John Brodbin",
284053,"Kerbusch, Leo",
286288,"Killmayer, Wilhelm",
286546,"King, Alfred",
286734,"King, James, Singing master",
286850,"King, M. P. (Matthew Peter)",1773-1823
976875,"Kirbye, George",
898331,"Kirbye, George",approximately 1565-1634
288312,"Kirkendale, Warren",
619386,"Klein, Manuel",1876-1919
289365,"Klein, Maynard",
290274,"Knight, Joseph Philip",1812-1887
290841,"Knyvett, Wm (William)",1779-1856
623976,"Knüpfer, Sebastian",1633-1676
290958,"Koch, Frederick",
977333,"Kodály, Zoltán",1882-1967
612983,"Kohn, Karl",
668941,"Kountz, R.",
293151,"Koven, Henry Louis Reginald de",
1040264,"Kox, Henk",1951-
293924,"Kraus, Egon",
294209,"Kreisler, Fritz",1875-1962
294501,"Krenek, Ernst",1900-1991
295191,"Kriens, Christiaan Pieter Willem",
978757,"Kupferman, Meyer",
842989,"Köhler, Siegfried",1927-1984
977555,"Kőler, Siegfried",1927-84
10191,L'Amorosa Ero,
930607,"L'Amorosa, Ero",
318726,"L'hoste, Spirito",
298351,"L, D.",
900027,"La Martoretta, Giandominico",active 1544-1566
305818,"La Tombelle, F. de (Fernand)",1854-1928
299622,"Lacome, P. (Paul)",1838-1920
919227,"Lacorcia, Scipione",
299781,"Lacout-Widmer, S.",
300406,"Lahee, Henry",1826-1912
300679,"Lake, Harold Charles",
636297,"Lambardi, Camillo",approximately 1560-1634
301525,"Lambord, Benjamin",
979171,"Landini, Francesco",ca1325-1397
844421,"Landini, Francesco",approximately 1325-1397
302922,"Lang, Craig Sellar",1891-1971
303867,"Langreder, Martin",
305591,"Lasso, Orlando di",1532-1594
877693,"Laster, James H.",
306177,"Lattre, Claude Jean de",
306488,"Laurens, Edmond",
306732,"Lauri, Mabel",
911108,"Lauridsen, Morten",1943-
307353,"Lawrence, Ian",1933-
307431,"Lawson, Malcolm Leonard",1849-
308182,"Leboffe, Enrico",
979860,"Lechner, Leonhard",-1606
310650,"Lee, E. Markham (Ernest Markham)",1874-1956
